Sierra Leone,SLE,55.0
El Salvador,SLV,64.8
Somalia,SOM,50.5
Serbia,SRB,66.6
Sub-Saharan Africa (excluding high income),SSA,54.0
South Sudan,SSD,54.4
Sub-Saharan Africa,SSF,54.0
Small states,SST,64.2
Sao Tome and Principe,STP,54.3
Suriname,SUR,66.3
Slovak Republic,SVK,71.0
Slovenia,SVN,67.2
Sweden,SWE,62.8
Swaziland,SWZ,59.1
Seychelles,SYC,69.7
Syrian Arab Republic,SYR,58.8
Chad,TCD,49.8
East Asia & Pacific (IDA & IBRD countries),TEA,71.3
Europe & Central Asia (IDA & IBRD countries),TEC,68.5
Togo,TGO,55.0
Thailand,THA,71.8
Tajikistan,TJK,62.2
Turkmenistan,TKM,67.6
Latin America & the Caribbean (IDA & IBRD countries),TLA,66.6
Middle East & North Africa (IDA & IBRD countries),TMN,64.0
Timor-Leste,TLS,52.0
Tonga,TON,57.4
South Asia (IDA & IBRD),TSA,64.8
Sub-Saharan Africa (IDA & IBRD countries),TSS,54.0
Trinidad and Tobago,TTO,69.8
Tunisia,TUN,69.1
Turkey,TUR,66.8
Tanzania,TZA,51.6
Uganda,UGA,49.4
Ukraine,UKR,69.8
Upper middle income,UMC,70.4
Uruguay,URY,64.2
United States,USA,66.3
Uzbekistan,UZB,66.8
St. Vincent and the Grenadines,VCT,68.1
Venezuela, RB,65.5
Virgin Islands (U.S.),VIR,62.0
Vietnam,VNM,70.2
Vanuatu,VUT,59.3
West Bank and Gaza,PSE,56.8
World,WLD,65.6
Samoa,WSM,57.5
Yemen,YEM,56.6
South Africa,ZAF,65.7
Congo,COD,50.9
Zambia,ZMB,51.2
Zimbabwe,ZWE,55.4
